place_id,name,rating,total_review_count,in_window_count,fetched_count,reviews_per_month,censored,scrape_failed,unparsed_count
ChIJl07iqFGzRIYRSEcBlZLxu08,Daylight Dental South Austin,4.8,1079,48,100,16.00,false,false,0
ChIJV_V-o8WzRIYRyWFVrpwODY4,Austin Emergency Dental,4.9,737,61,100,20.33,false,false,0
ChIJrTahjN-0RIYRchMKUA6urbg,Breeze Dental,4.8,852,46,100,15.33,false,false,0
ChIJL9iLaGRLW4YRG9VTvQufW1o,Austin Primary Dental,4.9,366,9,100,3.00,false,false,0
ChIJb5gBC-u0RIYRHkntaUcdJGs,ATX Family Dental,4.9,855,58,100,19.33,false,false,0
ChIJKy7ubCezRIYR92ws8sUapjw,Alta Dental,4.9,267,3,100,1.00,false,false,0
ChIJiX0yg8C0RIYRlvZnU-D_-DY,Swish Dental South,4.7,932,57,100,19.00,false,false,0
ChIJdfJbg6S1RIYRbNBpAQTgf-c,The Tooth Inc,5,577,36,100,12.00,false,false,0
ChIJcX40oCKzRIYR0x0LtCbenNk,Jefferson Dental & Orthodontics,4.1,665,27,100,9.00,false,false,0
ChIJSX5s1TWzRIYR076eOuafyBs,Access Dental & Orthodontics,4.2,132,7,100,2.33,false,false,0
ChIJhyS2wGFLW4YR1kUbgnNDx8o,Apex Dental,4.4,208,1,100,0.33,false,false,0
ChIJHaEzAeC1RIYRxdRM0DnrS64,Lady Bird Dental,4.9,444,25,100,8.33,false,false,0
ChIJf5afhV5LW4YRy--94BL_3jg,South Austin Dentist,4.9,162,18,100,6.00,false,false,0
ChIJkerPKqq0RIYRzQY3N8OM7Ko,Brident Dental & Orthodontics,4.6,590,91,100,30.33,false,false,0
ChIJR2MZPDdLW4YRZGVrXbVX_7A,South Austin Dental Associates,4.9,637,47,100,15.67,false,false,0
ChIJPUkuGLa0RIYRDkrmdJSqsVM,South Austin Dental Implant Studio,4.8,349,1,100,0.33,false,false,0
ChIJC62uDGNLW4YROQ1fOGpsZ4k,South Austin Dental,5,323,22,100,7.33,false,false,0
ChIJUfYH2QLLRIYRIvqtFM8T0EU,Martin Dental Group Northwest Hills (Formerly Balcones Dental),4.9,800,44,100,14.67,false,false,0
ChIJe5fsvYXKRIYRwmoXXLCat2Q,38th Street Dental,5,716,23,100,7.67,false,false,0
ChIJBy72toXKRIYRhRa4pGMKusA,Austin City Dental,5,653,44,100,14.67,false,false,0
ChIJrXaOu9rLRIYRsWYwa1BhcVE,Shoal Creek Smile Studio,4.9,333,31,100,10.33,false,false,0
ChIJ8Z2jMOTKRIYR-55WMQsMflc,Highland West Dental Care,4.9,316,46,100,15.33,false,false,0
ChIJhaYhmjXLRIYRieytKrZclio,Smile Haus Medical Parkway,4.9,351,10,100,3.33,false,false,0
ChIJ7enkRZJKW4YR3Q2zco3yzKk,West Lake Hills Dental,5,177,10,100,3.33,false,false,0
ChIJYUkVhCE1W4YRQsxYzq1t3ew,Bridgeview Dental,4.9,478,23,100,7.67,false,false,0